"","caseid","region","gender","educ","edloan","race","hispanic","employ","marstat","pid7","ideo5","pew_religimp","newsint","faminc_new","union","investor","CC18_308a","CC18_310a","CC18_310b","CC18_310c","CC18_310d","CC18_325a","CC18_325b","CC18_325c","CC18_325d"
"415",413705266,2,1,5,2,4,2,1,1,5,5,3,1,13,3,1,1,2,3,3,2,1,1,2,1
"416",411860946,2,1,5,2,1,2,7,1,5,4,1,1,8,2,1,1,2,3,3,3,1,1,2,1
"417",412890965,2,2,2,2,1,2,6,3,7,5,1,1,6,3,1,1,5,3,5,5,1,1,1,1
"418",410742991,4,2,5,2,1,2,6,4,1,2,4,1,6,2,1,4,2,3,2,3,2,2,2,1
"419",415151875,1,2,1,2,1,2,6,6,2,3,1,2,3,3,2,2,3,2,3,2,1,1,1,2
"420",414219984,2,2,2,2,1,2,7,6,2,3,3,3,3,3,2,4,3,3,3,3,2,2,2,2
"421",410948824,3,1,4,2,1,2,1,1,7,5,1,1,6,3,1,2,2,3,2,2,1,2,1,2
"422",415208638,3,2,3,2,3,2,1,5,4,3,1,1,6,3,2,4,2,1,2,1,2,1,1,2
"423",413291424,3,1,4,2,1,2,1,1,7,5,1,1,10,1,1,1,2,2,2,2,1,2,1,1
"424",420128783,3,2,5,1,1,2,1,1,1,1,4,1,5,3,2,4,2,2,2,5,2,2,2,2
"425",414228521,2,1,5,1,1,2,2,5,4,3,2,1,3,3,2,4,2,2,2,2,2,2,2,1
"426",410931571,3,2,4,2,1,2,5,1,2,3,2,2,4,3,2,4,3,2,2,2,2,1,2,1
"427",417080366,2,1,6,2,1,2,5,1,7,4,3,1,11,3,1,1,2,3,3,2,1,1,2,1
"428",414434758,4,1,5,2,2,2,1,1,1,4,1,1,10,3,2,4,3,3,3,3,1,1,1,1
"429",412285799,3,2,2,2,1,2,7,1,1,2,1,1,3,2,2,4,2,3,2,2,2,1,2,1
"430",415203324,3,2,2,2,1,2,2,1,2,1,4,3,5,3,2,3,1,5,1,1,1,1,1,2
"431",413112421,3,2,6,1,6,2,1,1,4,3,1,1,9,3,1,4,3,2,3,3,2,2,2,1
"432",410661738,3,1,5,1,1,2,8,5,3,2,4,2,10,3,2,4,2,3,2,2,2,2,1,1
"433",413440916,3,2,3,2,1,2,5,1,3,3,2,2,12,2,1,4,2,3,2,2,1,2,2,1
"434",414281407,4,1,3,2,2,2,1,1,2,2,2,4,6,1,2,2,2,1,1,1,1,1,1,1
"435",417618233,4,1,6,2,1,2,5,6,1,1,4,1,11,2,1,4,3,3,3,3,2,1,2,1
"436",413835774,1,2,5,1,1,2,1,1,4,3,2,1,10,3,2,1,3,3,2,2,1,1,1,1
"437",417081276,3,1,6,2,1,2,1,3,4,3,4,1,11,3,1,3,2,3,3,3,1,1,2,1
"438",417299439,3,2,2,2,2,1,1,1,7,5,1,1,5,3,2,3,2,3,2,3,2,1,2,2
"439",412292805,3,2,3,2,1,2,5,3,1,2,1,2,9,3,2,4,3,2,2,3,2,1,1,1
"440",420130919,2,1,6,2,1,2,1,1,7,4,1,1,11,3,1,2,2,3,3,2,1,2,2,1
"441",418941207,3,2,5,1,1,2,1,3,2,3,4,2,7,3,2,4,2,3,5,5,2,2,2,2
"442",412888236,3,2,2,2,1,2,7,1,7,5,1,4,2,3,2,1,5,5,5,5,1,1,1,1
"443",412480417,2,2,3,2,1,2,1,1,1,3,2,3,6,3,1,4,2,2,2,2,1,1,1,1
"444",412374928,3,1,5,2,1,2,5,1,7,4,1,1,8,3,1,1,2,2,2,2,1,2,2,1
"445",412335974,2,1,3,2,1,2,5,1,3,1,4,1,9,3,2,4,2,2,3,2,2,2,2,1
"446",413703745,2,2,2,2,7,2,5,1,7,5,1,1,9,2,1,1,2,2,2,2,1,1,2,1
"447",411983939,1,2,3,2,1,2,5,5,1,3,3,2,3,2,2,4,3,3,3,3,2,2,2,1
